rank,company,revenue,profit,num. of employees,sector,city,state,Website
1,Walmart,523964,14881,2200000,Retailing,Bentonville,AR,https://www.stock.walmart.com
2,Amazon,280522,11588,798000,Retailing,Seattle,WA,https://www.amazon.com
3,Exxon Mobil,264938,14340,74900,Energy,Irving,TX,https://www.exxonmobil.com
4,Apple,260174,55256,137000,Technology,Cupertino,CA,https://www.apple.com
5,CVS Health,256776,6634,290000,Health Care,Woonsocket,RI,https://www.cvshealth.com
6,Berkshire Hathaway,254616,81417,391500,Financials,Omaha,NE,https://www.berkshirehathaway.com
7,UnitedHealth Group,242155,13839,325000,Health Care,Minnetonka,MN,https://www.unitedhealthgroup.com
8,McKesson,214319,34,70000,Health Care,Irving,TX,https://www.mckesson.com
9,AT&T,181193,13903,247800,Telecommunications,Dallas,TX,https://www.att.com
10,AmerisourceBergen,179589.1,855.4,21500,Health Care,Chesterbrook,PA,https://www.amerisourcebergen.com
11,Alphabet,161857,34343,118899,Technology,Mountain View,CA,https://www.abc.xyz
12,Ford Motor,155900,47,190000,Motor Vehicles & Parts,Dearborn,MI,https://www.ford.com
13,Cigna,153566,5104,73700,Health Care,Bloomfield,CT,https://www.cigna.com
14,Costco Wholesale,152703,3659,201500,Retailing,Issaquah,WA,https://www.costco.com
15,Chevron,146516,2924,48200,Energy,San Ramon,CA,https://www.chevron.com
16,Cardinal Health,145534,1363,49500,Health Care,Dublin,OH,https://www.cardinalhealth.com
17,JPMorgan Chase,142422,36431,256981,Financials,New York,NY,https://www.jpmorganchase.com
18,General Motors,137237,6732,164000,Motor Vehicles & Parts,Detroit,MI,https://www.gm.com
19,Walgreens Boots Alliance,136866,3982,287000,Food & Drug Stores,Deerfield,IL,https://www.walgreensbootsalliance.com
20,Verizon Communications,131868,19265,135000,Telecommunications,New York,NY,https://www.verizon.com
21,Microsoft,125843,39240,144000,Technology,Redmond,WA,https://www.microsoft.com
22,Marathon Petroleum,124813,2637,60910,Energy,Findlay,OH,https://www.marathonpetroleum.com
23,Kroger,122286,1659,435000,Food & Drug Stores,Cincinnati,OH,https://www.thekrogerco.com
24,Fannie Mae,120304,14160,7500,Financials,Washington,DC,https://www.fanniemae.com
25,Bank of America,113589,27430,208131,Financials,Charlotte,NC,https://www.bankofamerica.com
26,Home Depot,110225,11242,415700,Retailing,Atlanta,GA,https://www.homedepot.com
27,Phillips 66,109559,3076,14500,Energy,Houston,TX,https://www.phillips66.com
28,Comcast,108942,13057,190000,Telecommunications,Philadelphia,PA,https://corporate.comcast.com
29,Anthem,104213,4807,70600,Health Care,Indianapolis,IN,https://www.antheminc.com
30,Wells Fargo,103915,19549,259800,Financials,San Francisco,CA,https://www.wellsfargo.com
31,Citigroup,103449,19401,200000,Financials,New York,NY,https://www.citigroup.com
32,Valero Energy,102729,2422,10222,Energy,San Antonio,TX,https://www.valero.com
33,General Electric,95214,-4979,205000,Industrials,Boston,MA,https://www.ge.com
34,Dell Technologies,92154,4616,165000,Technology,Round Rock,TX,https://www.delltechnologies.com
35,Johnson & Johnson,82059,15119,132200,Health Care,New Brunswick,NJ,https://www.jnj.com
36,State Farm Insurance,79395.3,5592.7,57672,Financials,Bloomington,IL,https://www.statefarm.com
37,Target,78112,3281,368000,Retailing,Minneapolis,MN,https://corporate.target.com
38,IBM,77147,9431,383800,Technology,Armonk,NY,https://www.ibm.com
39,Raytheon Technologies,77046,5537,243200,Aerospace & Defense,Waltham,MA,https://www.rtx.com
40,Boeing,76559,-636,161100,Aerospace & Defense,Chicago,IL,https://www.boeing.com
41,Freddie Mac,75125,7214,6892,Financials,McLean,VA,https://www.freddiemac.com
42,Centene,74639,1321,56600,Health Care,St. Louis,MO,https://www.centene.com
43,UPS,74094,4440,377640,Transportation,Atlanta,GA,https://www.ups.com
44,Lowe&#8217;s,72148,4281,260000,Retailing,Mooresville,NC,https://www.lowes.com
45,Intel,71965,21048,110800,Technology,Santa Clara,CA,https://www.intel.com
46,Facebook,70697,18485,44942,Technology,Menlo Park,CA,https://investor.fb.com
